timestamp,protocol,src_ip,dst_ip,packet_length,second,label
1770353712.431931,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.431937,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.432014,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.432178,6,74.125.169.72,172.17.18.153,826,1770353712,DoS
1770353712.432185,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.432267,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.432267,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.432274,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.432424,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.432512,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.432517,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.435577,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.435686,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.435694,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.435776,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.436054,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.436054,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.436065,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.43622,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.436227,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.436314,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.436404,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.436412,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.436507,6,74.125.169.72,172.17.18.153,482,1770353712,DoS
1770353712.436632,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.436642,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.439409,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.439522,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.439529,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.439833,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.439962,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.439976,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.440087,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.440191,6,74.125.169.72,172.17.18.153,998,1770353712,DoS
1770353712.440197,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.440394,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.440515,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.44052,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.440605,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.440774,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.44078,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.441705,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.441808,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.441821,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.441927,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.442048,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.442053,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.442135,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.442362,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.442362,6,74.125.169.72,172.17.18.153,1170,1770353712,DoS
1770353712.44237,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.442461,6,74.125.169.72,172.17.18.153,1342,1770353712,DoS
1770353712.442465,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
1770353712.442584,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.442711,6,74.125.169.72,172.17.18.153,1514,1770353712,DoS
1770353712.442716,6,172.17.18.153,74.125.169.72,54,1770353712,DoS
